iter	Logloss
0	0.6568092705
1	0.6237671854
2	0.594363096
3	0.567886003
4	0.5440822148
5	0.5226725311
6	0.5034223672
7	0.486111699
8	0.4705214509
9	0.4564834888
10	0.4438397377
11	0.4324759086
12	0.4222635709
13	0.4130618715
14	0.4047731447
15	0.3973036665
16	0.3905610069
17	0.3844631266
18	0.3788824752
19	0.3738643685
20	0.3693914024
21	0.3653209418
22	0.3614696464
23	0.3581736597
24	0.355191005
25	0.3524640985
26	0.3500150709
27	0.3477880869
28	0.34577907
29	0.3439520741
30	0.3422887988
31	0.3407327412
32	0.3393469952
33	0.3381096389
34	0.3369200537
35	0.3358959219
36	0.3349675903
37	0.3338337617
38	0.3330644837
39	0.3323678305
40	0.3317003132
41	0.3311054329
42	0.3305633802
43	0.3298869887
44	0.3293977115
45	0.3289761601
46	0.3285847263
47	0.3282530146
48	0.3278128006
49	0.3275187415
50	0.3272661711
51	0.326977318
52	0.326737358
53	0.3264135987
54	0.3261784788
55	0.3260115835
56	0.3258683443
57	0.3257224201
58	0.3254272752
59	0.3252666057
60	0.3251403173
61	0.3250393023
62	0.3248420765
63	0.3247456455
64	0.3246733296
65	0.3246105628
66	0.3245260012
67	0.3244284271
68	0.3242765873
69	0.3242312189
70	0.3241193643
71	0.3240461467
72	0.3239347109
73	0.3238234206
74	0.3237906935
75	0.3234962377
76	0.3232941247
77	0.3231592289
78	0.3231108937
79	0.3229093138
80	0.3228005171
81	0.322752859
82	0.3226050768
83	0.3225593113
84	0.3224812528
85	0.3223539224
86	0.3222003753
87	0.3220393419
88	0.3219770099
89	0.3219121528
90	0.3217157158
91	0.3217110248
92	0.3214255643
93	0.3214119239
94	0.3213825217
95	0.321185445
96	0.3210608905
97	0.3209991128
98	0.3208761985
99	0.3208478467
100	0.3207745429
101	0.3206750508
102	0.3205300295
103	0.3205014685
104	0.320399219
105	0.320277587
106	0.3201883565
107	0.3201225784
108	0.3201109019
109	0.3198864286
110	0.3197787179
111	0.3197740528
112	0.319636111
113	0.3195911351
114	0.3195029962
115	0.3194624194
116	0.3193683586
117	0.3192811548
118	0.3191707164
119	0.3191353608
120	0.3191208693
121	0.3190131432
122	0.3190067969
123	0.3188015691
124	0.318646798
125	0.3186135386
126	0.3185440864
127	0.3184588857
128	0.3184403968
129	0.31842168
130	0.3182279337
131	0.3180517908
132	0.3180382196
133	0.3178133817
134	0.3177821438
135	0.3177520402
136	0.3176994333
137	0.3176264938
138	0.3175877482
139	0.3175003361
140	0.317360523
141	0.3172350338
142	0.3172167143
143	0.3169760676
144	0.3169313845
145	0.3168671374
146	0.3167214792
147	0.3166707781
148	0.3166160054
149	0.3166100156
150	0.3165463282
151	0.3164801904
152	0.3164251895
153	0.3163552183
154	0.3162663721
155	0.3162242696
156	0.3161903481
157	0.3160325575
158	0.3159581811
159	0.3159511255
160	0.3158378975
161	0.3157674467
162	0.3157131775
163	0.3156019422
164	0.3155764081
165	0.3154865701
166	0.3153260534
167	0.315312921
168	0.3152267534
169	0.3151239853
170	0.3149652211
171	0.3148912033
172	0.3148237665
173	0.314769016
174	0.3146835594
175	0.3146649781
176	0.3144977344
177	0.3144107116
178	0.314325519
179	0.3142326789
180	0.3140948378
181	0.3140452413
182	0.3140085083
183	0.313957624
184	0.3138713258
185	0.3137274067
186	0.3136139264
187	0.313573691
188	0.3134579513
189	0.3132977577
190	0.3132061275
191	0.3131054149
192	0.3131029029
193	0.3130733916
194	0.3130435527
195	0.3129232147
196	0.3128655887
197	0.3128315846
198	0.3127324576
199	0.312644612
200	0.3126142885
201	0.3125547028
202	0.3124590513
203	0.312414999
204	0.3123842206
205	0.3123819191
206	0.312235392
207	0.3121102533
208	0.3119972258
209	0.3118267704
210	0.311810636
211	0.311734376
212	0.3116853943
213	0.3116116167
214	0.3115985169
215	0.3115386901
216	0.3115001478
217	0.3114536897
